Date,Days,Model,SN-544,SN-554,SN-509,UA_SWE
9/30/2003,1,3.3854496,0,0,0,0
10/1/2003,2,3.0710783,0,0,0,0
10/2/2003,3,2.8740978,0,0,0,0
10/3/2003,4,2.634373,0,0,0,0
10/4/2003,5,2.4882727,0,0,0,0
10/5/2003,6,2.347584,0,0,0,0
10/6/2003,7,2.2297258,0,0,0,0
10/7/2003,8,2.1056376,0,0,0,0
10/8/2003,9,2.0285785,0,0,0,0
10/9/2003,10,1.9103379,0,0,0,0
10/10/2003,11,1.7926381,0,0,0,0
10/11/2003,12,1.7488209,0,0,0,0
10/12/2003,13,1.7374701,0,0,0,0
10/13/2003,14,1.7173976,0,0,0,0
10/14/2003,15,1.6992768,0,0,0,0
10/15/2003,16,1.6866479,0,0,0,0
10/16/2003,17,1.6704416,0,0,0,0
10/17/2003,18,1.626386,0,0,0,0
10/18/2003,19,1.5843064,0,0,0,0
10/19/2003,20,1.5258679,0,0,0,0
10/20/2003,21,1.4709556,0,0,0,0
10/21/2003,22,1.4182036,0,0,0,0
10/22/2003,23,1.3476908,0,0,0,0
10/23/2003,24,1.2608755,0,0,0,0
10/24/2003,25,1.2181431,0,0,0,0
10/25/2003,26,1.2049117,0,0,0,0
10/26/2003,27,1.2002032,0,0,0,0
10/27/2003,28,1.1922545,0,0,0,0
10/28/2003,29,1.1825703,0,0,0,0
10/29/2003,30,1.1723506,0,0,0,0
10/30/2003,31,1.7298768,0,0,2.54,1
10/31/2003,32,19.812836,22.86,15.24,15.24,14.27272701
11/1/2003,33,25.094967,30.48,17.78,20.32,18.13636398
11/2/2003,34,27.906664,30.48,17.78,20.32,18.22727203
11/3/2003,35,28.668276,30.48,17.78,20.32,18.13636398
11/4/2003,36,29.536583,33.02,22.86,22.86,21.5
11/5/2003,37,30.720457,35.56,22.86,25.4,22.86363602
11/6/2003,38,31.775276,35.56,22.86,25.4,22.95454597
11/7/2003,39,32.084763,35.56,22.86,25.4,23
11/8/2003,40,32.142544,38.1,25.4,25.4,25.22727203
11/9/2003,41,32.329475,40.64,25.4,25.4,26.45454597
11/10/2003,42,33.264114,53.34,35.56,33.02,34.68181992
11/11/2003,43,41.55896,58.42,40.64,33.02,38.22727203
11/12/2003,44,42.94183,68.58,43.18,38.1,44.45454407
11/13/2003,45,45.753498,68.58,43.18,38.1,44.59090805
11/14/2003,46,46.443386,76.2,48.26,38.1,48.59090805
11/15/2003,47,47.070747,76.2,48.26,38.1,48.90909195
11/16/2003,48,47.16347,81.28,50.8,38.1,51.09090805
11/17/2003,49,54.418163,93.98,58.42,45.72,59.90909195
11/18/2003,50,66.735916,116.84,73.66,50.8,73.90908813
11/19/2003,51,67.05843,116.84,73.66,50.8,73.36363983
11/20/2003,52,67.02478,119.38,71.12,53.34,73.40908813
11/21/2003,53,66.94431,119.38,71.12,53.34,73.63636017
11/22/2003,54,66.97901,119.38,68.58,53.34,73.09091187
11/23/2003,55,66.976746,121.92,68.58,53.34,73.8181839
11/24/2003,56,66.975685,121.92,68.58,53.34,73.90908813
11/25/2003,57,67.15984,124.46,73.66,55.88,77.59091187
11/26/2003,58,67.61718,124.46,73.66,58.42,78.5
11/27/2003,59,71.47691,137.16,81.28,66.04,87.22727203
11/28/2003,60,73.024345,137.16,81.28,66.04,87.3181839
11/29/2003,61,73.70245,139.7,81.28,66.04,89.3181839
11/30/2003,62,76.48373,144.78,88.9,68.58,95.22727203
12/1/2003,63,77.77187,152.4,91.44,68.58,96.09091187
12/2/2003,64,77.70105,152.4,91.44,68.58,95.95454407
12/3/2003,65,77.6727,152.4,91.44,68.58,96.13636017
12/4/2003,66,77.63558,152.4,91.44,68.58,96.13636017
12/5/2003,67,77.606514,152.4,91.44,68.58,96.13636017
12/6/2003,68,77.5917,154.94,93.98,71.12,97.86363983
12/7/2003,69,77.64632,157.48,93.98,71.12,98.63636017
12/8/2003,70,77.586586,167.64,101.6,73.66,104.272728
12/9/2003,71,80.89793,167.64,101.6,73.66,104.6363602
12/10/2003,72,80.89577,170.18,101.6,73.66,105.272728
12/11/2003,73,81.40088,172.72,104.14,76.2,107.5454559
12/12/2003,74,84.94118,175.26,104.14,76.2,108.4545441
12/13/2003,75,85.57849,177.8,106.68,76.2,109.8636398
12/14/2003,76,92.39429,193.04,116.84,83.82,120.5
12/15/2003,77,99.7999,195.58,116.84,83.82,121.4545441
12/16/2003,78,100.42856,195.58,116.84,83.82,121.5
12/17/2003,79,100.44134,195.58,116.84,83.82,121.5909119
12/18/2003,80,100.433205,198.12,116.84,83.82,121.9545441
12/19/2003,81,100.42131,198.12,116.84,83.82,122.1818161
12/20/2003,82,100.395355,198.12,116.84,83.82,121.6818161
12/21/2003,83,100.79955,198.12,121.92,86.36,124.3636398
12/22/2003,84,106.82636,203.2,121.92,88.9,126.8636398
12/23/2003,85,109.0882,203.2,121.92,88.9,126.727272
